Cancer,FDR_sig_count,mean_abs_difference,mean_signed_difference
LUSC,4,1.12930817372537,-0.258459905438469
GBM,4,0.71985508065215,0.247929612412141
LUAD,4,0.635360984523175,-0.121725513819454
HNSC,4,0.574719486219859,0.344454533415751
BRCA,4,0.569563429897435,-0.108039075989298
KIRP,4,0.460496129423417,-0.0550400423481659
KIRC,4,0.287533753660982,0.111020667232468
TGCT,3,0.903946148539925,0.16332518835024
SKCM,3,0.901405852843451,0.0304656228644441
CESC,3,0.813097063584181,0.365668541662396
SARC,3,0.785672609335479,0.0232746034343337
ESCA,3,0.763883156502463,0.365837955956268
STAD,3,0.712959923152706,0.117272070255807
UCEC,3,0.648561284000843,0.0539239756790213
COAD,3,0.470420438169065,0.0459330544670843
READ,3,0.450173536999464,0.0436182338069366
OV,3,0.391967619365775,0.0755611261580093
LGG,3,0.307413772723213,-0.158667975325987
LIHC,3,0.202701366842102,0.0673818103448945
ACC,2,0.736264294768127,0.0274397346186856
MESO,2,0.710391777731695,0.189575904179181
LAML,2,0.685945110270484,0.201597926517729
THYM,2,0.502896835798678,0.0336241368903432
UCS,2,0.463493589556796,0.090990248115813
UVM,2,0.40042958163398,-0.138332005884045
BLCA,2,0.392728793428,-0.0718342473572285
PRAD,2,0.308999681089181,-0.0210594151667502
PAAD,2,0.295564605225418,0.241241292472109
KICH,1,0.345996355638345,-0.229103710854411
PCPG,1,0.196451093960143,0.1873182378146
THCA,1,0.0981237566567825,0.0278501184010571
DLBC,0,1.04742337761317,0.466479628610239
CHOL,0,0.37572623746066,-0.101715875210227
