Cancer,P_value,FDR,FDR_label,Low_Responder,Low_Total,Low_Responder_Percent,High_Responder,High_Total,High_Responder_Percent,Delta_High_minus_Low
TGCT,0.00302833015168123,0.00713820678610576,**,66,75,88,75,75,100,12
CHOL,0.228571428571429,0.359183673469388,"",15,17,88.2352941176471,18,18,100,11.7647058823529
READ,0.00654698695333431,0.0133916862544374,*,75,83,90.3614457831325,83,83,100,9.6385542168675
UCEC,3.06933970208984e-07,1.68813683614941e-06,****,251,272,92.2794117647059,273,273,100,7.7205882352941
PRAD,0.498993963782696,0.71594786107952,"",247,248,99.5967741935484,249,249,100,0.403225806451601
UCS,1,1,"",28,28,100,29,29,100,0
LUSC,6.59769302436171e-07,3.11034099719909e-06,****,221,250,88.4,248,251,98.804780876494,10.404780876494
ESCA,6.27710417361525e-05,0.000204290676773194,***,64,81,79.0123456790123,80,81,98.7654320987654,19.7530864197531
COAD,0.00368445364600321,0.00810579802120706,**,212,228,92.9824561403509,225,228,98.6842105263158,5.70175438596489
KIRP,6.80968922577313e-05,0.000204290676773194,***,125,145,86.2068965517241,143,145,98.6206896551724,12.4137931034483
BRCA,6.24132133661552e-10,1.02981802054156e-08,****,494,547,90.3107861060329,540,548,98.5401459854015,8.2293598793686
OV,1,1,"",185,189,97.8835978835979,186,189,98.4126984126984,0.529100529100504
CESC,0.169384146962539,0.279483842488189,"",142,152,93.421052631579,148,152,97.3684210526316,3.9473684210526
SKCM,1.82801862626864e-07,1.37564880031637e-06,****,183,234,78.2051282051282,222,235,94.468085106383,16.2629569012548
KICH,1,1,"",30,32,93.75,31,33,93.9393939393939,0.189393939393895
BLCA,0.0369682185702172,0.0642079585693246,"",174,203,85.7142857142857,188,203,92.6108374384236,6.89655172413791
GBM,0.589141889219269,0.777667293769435,"",72,80,90,75,81,92.5925925925926,2.5925925925926
LIHC,0.00689874746440714,0.0133916862544374,*,154,185,83.2432432432433,172,186,92.4731182795699,9.2298750363266
UVM,1,1,"",35,40,87.5,36,40,90,2.5
ACC,1,1,"",36,39,92.3076923076923,36,40,90,-2.30769230769231
LUAD,2.08431636411571e-07,1.37564880031637e-06,****,181,258,70.1550387596899,229,258,88.7596899224806,18.6046511627907
HNSC,0.000314430079126223,0.000798168662397335,***,189,251,75.2988047808765,221,251,88.0478087649403,12.7490039840638
KIRC,0.0276141738891882,0.0506259854635117,"",211,266,79.3233082706767,231,266,86.8421052631579,7.5187969924812
STAD,8.28883050834344e-09,9.11771355917778e-08,****,108,187,57.7540106951872,159,188,84.5744680851064,26.8204573899192
THYM,0.368863610342791,0.553295415514187,"",45,60,75,50,60,83.3333333333333,8.3333333333333
THCA,0.735759643657943,0.890616739862798,"",201,252,79.7619047619048,205,252,81.3492063492064,1.5873015873016
SARC,4.7433075467386e-10,1.02981802054156e-08,****,56,129,43.4108527131783,105,130,80.7692307692308,37.3583780560525
LGG,2.66737250225482e-06,9.78036584160101e-06,****,152,257,59.1439688715953,202,257,78.5992217898833,19.455252918288
MESO,1.63032819820049e-06,6.72510381757702e-06,****,11,43,25.5813953488372,34,44,77.2727272727273,51.6913319238901
LAML,0.000136763109024177,0.000376098549816487,***,30,75,40,54,75,72,32
PAAD,0.755674809580556,0.890616739862798,"",55,89,61.7977528089888,58,89,65.1685393258427,3.3707865168539
DLBC,0.751642428201968,0.890616739862798,"",6,24,25,8,24,33.3333333333333,8.3333333333333
PCPG,0.576576502105972,0.777667293769435,"",19,89,21.3483146067416,16,90,17.7777777777778,-3.5705368289638
