Cancer,Feature,Test,P_value,P_label,Significance,Low_Responder,Low_Total,Low_Responder_Percent,High_Responder,High_Total,High_Responder_Percent
ACC,Responder,Fisher_exact_test,1,1.000,ns,36,39,92.3076923076923,36,40,90
BLCA,Responder,Fisher_exact_test,0.0369682185702172,0.037,*,174,203,85.7142857142857,188,203,92.6108374384236
BRCA,Responder,Fisher_exact_test,6.24132133661552e-10,6.24e-10,***,494,547,90.3107861060329,540,548,98.5401459854015
CESC,Responder,Fisher_exact_test,0.169384146962539,0.169,ns,142,152,93.421052631579,148,152,97.3684210526316
CHOL,Responder,Fisher_exact_test,0.228571428571429,0.229,ns,15,17,88.2352941176471,18,18,100
COAD,Responder,Fisher_exact_test,0.00368445364600321,0.004,**,212,228,92.9824561403509,225,228,98.6842105263158
DLBC,Responder,Fisher_exact_test,0.751642428201968,0.752,ns,6,24,25,8,24,33.3333333333333
ESCA,Responder,Fisher_exact_test,6.27710417361525e-05,6.28e-05,***,64,81,79.0123456790123,80,81,98.7654320987654
GBM,Responder,Fisher_exact_test,0.589141889219269,0.589,ns,72,80,90,75,81,92.5925925925926
HNSC,Responder,Fisher_exact_test,0.000314430079126223,3.14e-04,***,189,251,75.2988047808765,221,251,88.0478087649403
KICH,Responder,Fisher_exact_test,1,1.000,ns,30,32,93.75,31,33,93.9393939393939
KIRC,Responder,Fisher_exact_test,0.0276141738891882,0.028,*,211,266,79.3233082706767,231,266,86.8421052631579
KIRP,Responder,Fisher_exact_test,6.80968922577313e-05,6.81e-05,***,125,145,86.2068965517241,143,145,98.6206896551724
LAML,Responder,Fisher_exact_test,0.000136763109024177,1.37e-04,***,30,75,40,54,75,72
LGG,Responder,Fisher_exact_test,2.66737250225482e-06,2.67e-06,***,152,257,59.1439688715953,202,257,78.5992217898833
LIHC,Responder,Fisher_exact_test,0.00689874746440714,0.007,**,154,185,83.2432432432433,172,186,92.4731182795699
LUAD,Responder,Fisher_exact_test,2.08431636411571e-07,2.08e-07,***,181,258,70.1550387596899,229,258,88.7596899224806
LUSC,Responder,Fisher_exact_test,6.59769302436171e-07,6.60e-07,***,221,250,88.4,248,251,98.804780876494
MESO,Responder,Fisher_exact_test,1.63032819820049e-06,1.63e-06,***,11,43,25.5813953488372,34,44,77.2727272727273
OV,Responder,Fisher_exact_test,1,1.000,ns,185,189,97.8835978835979,186,189,98.4126984126984
PAAD,Responder,Fisher_exact_test,0.755674809580556,0.756,ns,55,89,61.7977528089888,58,89,65.1685393258427
PCPG,Responder,Fisher_exact_test,0.576576502105972,0.577,ns,19,89,21.3483146067416,16,90,17.7777777777778
PRAD,Responder,Fisher_exact_test,0.498993963782696,0.499,ns,247,248,99.5967741935484,249,249,100
READ,Responder,Fisher_exact_test,0.00654698695333431,0.007,**,75,83,90.3614457831325,83,83,100
SARC,Responder,Fisher_exact_test,4.7433075467386e-10,4.74e-10,***,56,129,43.4108527131783,105,130,80.7692307692308
SKCM,Responder,Fisher_exact_test,1.82801862626864e-07,1.83e-07,***,183,234,78.2051282051282,222,235,94.468085106383
STAD,Responder,Fisher_exact_test,8.28883050834344e-09,8.29e-09,***,108,187,57.7540106951872,159,188,84.5744680851064
TGCT,Responder,Fisher_exact_test,0.00302833015168123,0.003,**,66,75,88,75,75,100
THCA,Responder,Fisher_exact_test,0.735759643657943,0.736,ns,201,252,79.7619047619048,205,252,81.3492063492064
THYM,Responder,Fisher_exact_test,0.368863610342791,0.369,ns,45,60,75,50,60,83.3333333333333
UCEC,Responder,Fisher_exact_test,3.06933970208984e-07,3.07e-07,***,251,272,92.2794117647059,273,273,100
UCS,Responder,Fisher_exact_test,1,1.000,ns,28,28,100,29,29,100
UVM,Responder,Fisher_exact_test,1,1.000,ns,35,40,87.5,36,40,90
