Gene,SafeGene,Model,CoxCoef,HR,CoxP,CoxFDR,GeneRole,SignatureType
RRM2,RRM2,StepCox[backward] + RSF,0.272922852,1.313798884,6.14E-05,0.002177814,Risk,Final features actually used by selected model: StepCox[backward] + RSF
LYPD3,LYPD3,StepCox[backward] + RSF,0.173178752,1.189078637,6.30E-05,0.002177814,Risk,Final features actually used by selected model: StepCox[backward] + RSF
PLK1,PLK1,StepCox[backward] + RSF,0.287520255,1.333117594,7.10E-05,0.002177814,Risk,Final features actually used by selected model: StepCox[backward] + RSF
ECT2,ECT2,StepCox[backward] + RSF,0.287364757,1.332910313,0.000140589,0.00221575,Risk,Final features actually used by selected model: StepCox[backward] + RSF
KIF14,KIF14,StepCox[backward] + RSF,0.271078326,1.311377782,0.000152561,0.00221575,Risk,Final features actually used by selected model: StepCox[backward] + RSF
CCNA2,CCNA2,StepCox[backward] + RSF,0.246327735,1.279318782,0.000160101,0.00221575,Risk,Final features actually used by selected model: StepCox[backward] + RSF
WDHD1,WDHD1,StepCox[backward] + RSF,0.312756585,1.367188697,0.000165003,0.00221575,Risk,Final features actually used by selected model: StepCox[backward] + RSF
SHCBP1,SHCBP1,StepCox[backward] + RSF,0.31137373,1.365299379,0.000221476,0.002252336,Risk,Final features actually used by selected model: StepCox[backward] + RSF
TK1,TK1,StepCox[backward] + RSF,0.268740493,1.30831558,0.000225775,0.002252336,Risk,Final features actually used by selected model: StepCox[backward] + RSF
SPC25,SPC25,StepCox[backward] + RSF,0.290252238,1.336764628,0.000266599,0.002483368,Risk,Final features actually used by selected model: StepCox[backward] + RSF
CDC25C,CDC25C,StepCox[backward] + RSF,0.297643836,1.346682063,0.000277397,0.002483368,Risk,Final features actually used by selected model: StepCox[backward] + RSF
KIF4A,KIF4A,StepCox[backward] + RSF,0.236163609,1.266381484,0.000309669,0.002646265,Risk,Final features actually used by selected model: StepCox[backward] + RSF
SLC2A1,SLC2A1,StepCox[backward] + RSF,0.201583007,1.223337778,0.000419137,0.002814203,Risk,Final features actually used by selected model: StepCox[backward] + RSF
CYP4B1,CYP4B1,StepCox[backward] + RSF,-0.120164554,0.886774503,0.000609451,0.003292226,Protective,Final features actually used by selected model: StepCox[backward] + RSF
NCAPG,NCAPG,StepCox[backward] + RSF,0.21505429,1.239929211,0.000912194,0.004083154,Risk,Final features actually used by selected model: StepCox[backward] + RSF
CDC25A,CDC25A,StepCox[backward] + RSF,0.259269229,1.295982675,0.001977812,0.005997236,Risk,Final features actually used by selected model: StepCox[backward] + RSF
BUB1B,BUB1B,StepCox[backward] + RSF,0.205440806,1.228066285,0.002686811,0.007320588,Risk,Final features actually used by selected model: StepCox[backward] + RSF
CDCA3,CDCA3,StepCox[backward] + RSF,0.227218075,1.255103545,0.002892948,0.007769632,Risk,Final features actually used by selected model: StepCox[backward] + RSF
CENPA,CENPA,StepCox[backward] + RSF,0.18954807,1.208703225,0.002989638,0.007916225,Risk,Final features actually used by selected model: StepCox[backward] + RSF
TMPRSS11E,TMPRSS11E,StepCox[backward] + RSF,0.107941796,1.113982905,0.003175347,0.008149317,Risk,Final features actually used by selected model: StepCox[backward] + RSF
MAD2L1,MAD2L1,StepCox[backward] + RSF,0.213701133,1.238252527,0.00320771,0.008149317,Risk,Final features actually used by selected model: StepCox[backward] + RSF
PLOD2,PLOD2,StepCox[backward] + RSF,0.169931845,1.185224069,0.004284441,0.009944135,Risk,Final features actually used by selected model: StepCox[backward] + RSF
TTK,TTK,StepCox[backward] + RSF,0.18324921,1.201113701,0.006496453,0.013132615,Risk,Final features actually used by selected model: StepCox[backward] + RSF
MYBL2,MYBL2,StepCox[backward] + RSF,0.142220426,1.152830734,0.006993277,0.013839326,Risk,Final features actually used by selected model: StepCox[backward] + RSF
KIFC1,KIFC1,StepCox[backward] + RSF,0.176908095,1.193521397,0.007412218,0.014515593,Risk,Final features actually used by selected model: StepCox[backward] + RSF
MCM6,MCM6,StepCox[backward] + RSF,0.248149707,1.28165179,0.009345369,0.017248871,Risk,Final features actually used by selected model: StepCox[backward] + RSF
BRIP1,BRIP1,StepCox[backward] + RSF,0.244045323,1.276402179,0.011006476,0.019864701,Risk,Final features actually used by selected model: StepCox[backward] + RSF
NCAPG2,NCAPG2,StepCox[backward] + RSF,0.212096767,1.236267509,0.011236928,0.019864701,Risk,Final features actually used by selected model: StepCox[backward] + RSF
WDR62,WDR62,StepCox[backward] + RSF,0.205710688,1.228397763,0.013371944,0.022445763,Risk,Final features actually used by selected model: StepCox[backward] + RSF
CENPI,CENPI,StepCox[backward] + RSF,0.196331371,1.216930094,0.016538806,0.027037352,Risk,Final features actually used by selected model: StepCox[backward] + RSF
